WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
==============SETTINGS================
{'device': 'cuda:0',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_15__13_31_36__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_15__13_31_36__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_15__13_31_36__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/yuni/venv/lib/python3.8/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
pybullet build time: Nov 26 2020 23:09:05
argv[0]=--background_color_red=1.0
argv[1]=--background_color_green=1.0
argv[2]=--background_color_blue=1.0
argv[3]=--width=1280
argv[4]=--height=720
argv[5]=
argv[0]=--background_color_red=1.0
argv[1]=--background_color_green=1.0
argv[2]=--background_color_blue=1.0
argv[3]=--width=1280
argv[4]=--height=720
argv[5]=
Updates 1, num timesteps 40000, FPS 3914, mean/median reward 54.3/50.3, min/max reward 14.0/179.2, entropy 10.08, value loss 37.60, policy loss -0.026
Updates 2, num timesteps 80000, FPS 3794, mean/median reward 73.1/62.8, min/max reward 21.4/229.7, entropy 10.00, value loss 44.76, policy loss -0.027
Updates 3, num timesteps 120000, FPS 3253, mean/median reward 91.5/83.5, min/max reward 28.4/211.0, entropy 9.91, value loss 62.25, policy loss -0.025
Updates 4, num timesteps 160000, FPS 2979, mean/median reward 120.9/123.3, min/max reward 17.4/281.6, entropy 9.82, value loss 64.53, policy loss -0.025
Updates 5, num timesteps 200000, FPS 2832, mean/median reward 148.1/148.8, min/max reward 41.0/289.1, entropy 9.73, value loss 68.18, policy loss -0.023
Updates 6, num timesteps 240000, FPS 2723, mean/median reward 171.2/166.3, min/max reward 51.1/346.4, entropy 9.63, value loss 62.65, policy loss -0.019
Updates 7, num timesteps 280000, FPS 2651, mean/median reward 211.5/213.0, min/max reward 72.1/411.8, entropy 9.53, value loss 62.26, policy loss -0.020
Updates 8, num timesteps 320000, FPS 2598, mean/median reward 229.5/222.2, min/max reward 104.1/385.0, entropy 9.43, value loss 63.78, policy loss -0.018
Updates 9, num timesteps 360000, FPS 2564, mean/median reward 239.3/237.0, min/max reward 102.4/439.9, entropy 9.31, value loss 64.63, policy loss -0.018
Updates 10, num timesteps 400000, FPS 2552, mean/median reward 259.9/249.2, min/max reward 121.1/448.9, entropy 9.19, value loss 62.81, policy loss -0.014
Updates 11, num timesteps 440000, FPS 2542, mean/median reward 280.8/278.1, min/max reward 114.2/471.0, entropy 9.09, value loss 65.39, policy loss -0.014
Updates 12, num timesteps 480000, FPS 2542, mean/median reward 299.7/288.0, min/max reward 99.5/500.1, entropy 8.99, value loss 61.41, policy loss -0.009
Updates 13, num timesteps 520000, FPS 2535, mean/median reward 321.2/319.6, min/max reward 167.3/590.0, entropy 8.88, value loss 62.23, policy loss -0.012
Updates 14, num timesteps 560000, FPS 2527, mean/median reward 333.2/340.3, min/max reward 130.0/516.7, entropy 8.76, value loss 57.53, policy loss -0.012
Updates 15, num timesteps 600000, FPS 2525, mean/median reward 347.9/351.7, min/max reward 154.4/528.6, entropy 8.67, value loss 72.35, policy loss -0.008
Updates 16, num timesteps 640000, FPS 2522, mean/median reward 377.8/376.8, min/max reward 175.6/590.8, entropy 8.57, value loss 70.18, policy loss -0.011
Updates 17, num timesteps 680000, FPS 2523, mean/median reward 390.1/390.5, min/max reward 210.8/602.2, entropy 8.50, value loss 81.05, policy loss -0.006
Updates 18, num timesteps 720000, FPS 2522, mean/median reward 401.8/411.5, min/max reward 167.6/812.3, entropy 8.44, value loss 96.41, policy loss -0.005
Updates 19, num timesteps 760000, FPS 2518, mean/median reward 397.8/398.2, min/max reward 199.9/800.7, entropy 8.39, value loss 90.74, policy loss -0.005
Updates 20, num timesteps 800000, FPS 2517, mean/median reward 422.7/414.1, min/max reward 175.6/921.6, entropy 8.34, value loss 107.68, policy loss -0.002
Updates 21, num timesteps 840000, FPS 2515, mean/median reward 423.9/414.8, min/max reward 198.6/843.4, entropy 8.30, value loss 97.21, policy loss -0.005
Updates 22, num timesteps 880000, FPS 2511, mean/median reward 424.5/425.3, min/max reward 230.0/643.1, entropy 8.24, value loss 98.38, policy loss -0.003
Updates 23, num timesteps 920000, FPS 2506, mean/median reward 447.5/444.7, min/max reward 211.4/905.3, entropy 8.19, value loss 104.34, policy loss -0.007
Updates 24, num timesteps 960000, FPS 2501, mean/median reward 450.5/448.9, min/max reward 200.3/776.5, entropy 8.14, value loss 110.46, policy loss -0.008
Updates 25, num timesteps 1000000, FPS 2499, mean/median reward 455.1/444.9, min/max reward 173.3/808.5, entropy 8.08, value loss 96.87, policy loss -0.007
Updates 26, num timesteps 1040000, FPS 2505, mean/median reward 475.7/482.6, min/max reward 202.6/838.5, entropy 8.02, value loss 74.50, policy loss -0.007
Updates 27, num timesteps 1080000, FPS 2507, mean/median reward 525.1/497.2, min/max reward 215.9/1162.0, entropy 7.96, value loss 55.02, policy loss -0.003
Updates 28, num timesteps 1120000, FPS 2504, mean/median reward 613.6/637.1, min/max reward 172.4/1162.0, entropy 7.91, value loss 41.40, policy loss -0.004
