WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
==============SETTINGS================
{'device': 'cuda:0',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_14__22_30_50__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_14__22_30_50__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_14__22_30_50__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/yuni/venv/lib/python3.8/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
pybullet build time: Nov 26 2020 23:09:05
argv[0]=--background_color_red=1.0
argv[1]=--background_color_green=1.0
argv[2]=--background_color_blue=1.0
argv[3]=--width=1280
argv[4]=--height=720
argv[5]=
argv[0]=--background_color_red=1.0
argv[1]=--background_color_green=1.0
argv[2]=--background_color_blue=1.0
argv[3]=--width=1280
argv[4]=--height=720
argv[5]=
Updates 1, num timesteps 40000, FPS 3125, mean/median reward 29.6/26.1, min/max reward -2.5/105.5, entropy 10.04, value loss 16.97, policy loss -0.033
Updates 2, num timesteps 80000, FPS 2970, mean/median reward 36.6/32.6, min/max reward 0.8/132.2, entropy 9.93, value loss 20.39, policy loss -0.029
Updates 3, num timesteps 120000, FPS 2635, mean/median reward 46.5/41.6, min/max reward 4.3/114.2, entropy 9.80, value loss 22.59, policy loss -0.030
Updates 4, num timesteps 160000, FPS 2441, mean/median reward 63.6/60.8, min/max reward 12.1/145.4, entropy 9.68, value loss 27.04, policy loss -0.028
Updates 5, num timesteps 200000, FPS 2311, mean/median reward 85.2/80.2, min/max reward 16.4/193.4, entropy 9.57, value loss 26.11, policy loss -0.024
Updates 6, num timesteps 240000, FPS 2231, mean/median reward 99.1/95.8, min/max reward 30.7/211.3, entropy 9.44, value loss 26.27, policy loss -0.024
Updates 7, num timesteps 280000, FPS 2192, mean/median reward 117.1/108.9, min/max reward 31.4/286.4, entropy 9.33, value loss 25.26, policy loss -0.023
Updates 8, num timesteps 320000, FPS 2157, mean/median reward 132.4/132.3, min/max reward 33.9/262.0, entropy 9.22, value loss 29.63, policy loss -0.024
Updates 9, num timesteps 360000, FPS 2136, mean/median reward 146.2/146.6, min/max reward 44.7/265.0, entropy 9.10, value loss 28.36, policy loss -0.020
Updates 10, num timesteps 400000, FPS 2120, mean/median reward 170.0/166.8, min/max reward 71.6/315.4, entropy 8.98, value loss 28.75, policy loss -0.019
Updates 11, num timesteps 440000, FPS 2111, mean/median reward 180.8/174.2, min/max reward 56.9/377.9, entropy 8.87, value loss 30.88, policy loss -0.017
Updates 12, num timesteps 480000, FPS 2100, mean/median reward 193.7/193.7, min/max reward 83.0/444.0, entropy 8.77, value loss 28.09, policy loss -0.015
Updates 13, num timesteps 520000, FPS 2092, mean/median reward 219.3/214.5, min/max reward 94.1/387.6, entropy 8.67, value loss 33.04, policy loss -0.016
Updates 14, num timesteps 560000, FPS 2092, mean/median reward 222.7/214.6, min/max reward 89.9/673.7, entropy 8.57, value loss 36.69, policy loss -0.017
Updates 15, num timesteps 600000, FPS 2090, mean/median reward 235.4/234.7, min/max reward 50.5/468.5, entropy 8.49, value loss 36.81, policy loss -0.013
Updates 16, num timesteps 640000, FPS 2089, mean/median reward 256.9/254.5, min/max reward 17.6/600.6, entropy 8.42, value loss 38.60, policy loss -0.012
Updates 17, num timesteps 680000, FPS 2092, mean/median reward 285.4/267.1, min/max reward 94.9/913.2, entropy 8.36, value loss 39.26, policy loss -0.010
Updates 18, num timesteps 720000, FPS 2091, mean/median reward 273.4/272.2, min/max reward 89.9/753.4, entropy 8.29, value loss 42.19, policy loss -0.013
Updates 19, num timesteps 760000, FPS 2087, mean/median reward 297.0/291.2, min/max reward 99.2/700.8, entropy 8.22, value loss 45.29, policy loss -0.009
Updates 20, num timesteps 800000, FPS 2082, mean/median reward 294.6/268.5, min/max reward 94.4/850.2, entropy 8.17, value loss 43.98, policy loss -0.009
Updates 21, num timesteps 840000, FPS 2078, mean/median reward 307.6/294.6, min/max reward 113.2/1079.9, entropy 8.12, value loss 41.77, policy loss -0.006
Updates 22, num timesteps 880000, FPS 2074, mean/median reward 324.5/290.0, min/max reward 119.8/1370.9, entropy 8.05, value loss 38.27, policy loss -0.004
Updates 23, num timesteps 920000, FPS 2076, mean/median reward 304.6/285.5, min/max reward 113.1/784.3, entropy 8.00, value loss 34.26, policy loss -0.006
Updates 24, num timesteps 960000, FPS 2078, mean/median reward 305.4/274.5, min/max reward 107.6/1079.2, entropy 7.96, value loss 36.72, policy loss -0.013
Updates 25, num timesteps 1000000, FPS 2082, mean/median reward 292.5/265.5, min/max reward 119.8/1474.8, entropy 7.90, value loss 33.34, policy loss -0.006
Updates 26, num timesteps 1040000, FPS 2085, mean/median reward 332.3/310.2, min/max reward 107.2/873.7, entropy 7.85, value loss 40.71, policy loss -0.010
Updates 27, num timesteps 1080000, FPS 2086, mean/median reward 352.9/297.3, min/max reward 140.5/1446.6, entropy 7.79, value loss 36.88, policy loss -0.008
Updates 28, num timesteps 1120000, FPS 2086, mean/median reward 381.8/305.4, min/max reward 121.9/1397.6, entropy 7.76, value loss 41.88, policy loss -0.010
Updates 29, num timesteps 1160000, FPS 2085, mean/median reward 379.8/307.4, min/max reward 141.0/1480.5, entropy 7.73, value loss 40.05, policy loss -0.013
Updates 30, num timesteps 1200000, FPS 2086, mean/median reward 462.5/323.6, min/max reward 128.0/1504.5, entropy 7.67, value loss 38.39, policy loss -0.010
Updates 31, num timesteps 1240000, FPS 2090, mean/median reward 458.6/318.9, min/max reward 182.0/1472.9, entropy 7.60, value loss 35.31, policy loss -0.009
Updates 32, num timesteps 1280000, FPS 2092, mean/median reward 587.9/341.3, min/max reward 127.1/1525.9, entropy 7.52, value loss 25.96, policy loss -0.009
Updates 33, num timesteps 1320000, FPS 2091, mean/median reward 714.4/341.5, min/max reward 127.1/1529.8, entropy 7.45, value loss 22.90, policy loss -0.009
Updates 34, num timesteps 1360000, FPS 2090, mean/median reward 915.4/1099.5, min/max reward 199.2/1573.1, entropy 7.39, value loss 22.02, policy loss -0.008
Updates 35, num timesteps 1400000, FPS 2089, mean/median reward 939.6/1082.6, min/max reward 214.2/1574.9, entropy 7.33, value loss 22.33, policy loss -0.011
Updates 36, num timesteps 1440000, FPS 2087, mean/median reward 950.8/1060.5, min/max reward 176.8/1591.6, entropy 7.28, value loss 29.54, policy loss -0.013
Updates 37, num timesteps 1480000, FPS 2087, mean/median reward 1028.0/1468.9, min/max reward 171.2/1591.6, entropy 7.19, value loss 18.80, policy loss -0.009
Updates 38, num timesteps 1520000, FPS 2086, mean/median reward 1109.7/1486.9, min/max reward 171.2/1591.2, entropy 7.13, value loss 17.05, policy loss -0.005
Updates 39, num timesteps 1560000, FPS 2086, mean/median reward 1167.5/1534.2, min/max reward 155.0/1607.5, entropy 7.05, value loss 19.96, policy loss -0.008
Updates 40, num timesteps 1600000, FPS 2086, mean/median reward 1216.2/1548.4, min/max reward 155.0/1635.6, entropy 6.98, value loss 16.94, policy loss -0.011
Updates 41, num timesteps 1640000, FPS 2084, mean/median reward 1227.2/1554.4, min/max reward 177.4/1635.6, entropy 6.93, value loss 15.54, policy loss -0.006
Updates 42, num timesteps 1680000, FPS 2082, mean/median reward 1336.7/1580.5, min/max reward 179.2/1635.6, entropy 6.87, value loss 15.81, policy loss -0.009
Updates 43, num timesteps 1720000, FPS 2080, mean/median reward 1355.1/1586.6, min/max reward 211.3/1649.5, entropy 6.82, value loss 14.04, policy loss -0.009
Updates 44, num timesteps 1760000, FPS 2079, mean/median reward 1411.3/1596.5, min/max reward 202.1/1649.5, entropy 6.77, value loss 14.02, policy loss -0.011
Updates 45, num timesteps 1800000, FPS 2080, mean/median reward 1432.0/1600.9, min/max reward 186.8/1657.4, entropy 6.72, value loss 17.05, policy loss -0.009
