WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
==============SETTINGS================
{'device': 'cuda:0',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_01_25__11_18_58__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_01_25__11_18_58__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_01_25__11_18_58__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/yuni/venv/lib/python3.8/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
pybullet build time: Nov 26 2020 23:09:05
argv[0]=--background_color_red=1.0
argv[1]=--background_color_green=1.0
argv[2]=--background_color_blue=1.0
argv[3]=--width=1280
argv[4]=--height=720
argv[5]=
argv[0]=--background_color_red=1.0
argv[1]=--background_color_green=1.0
argv[2]=--background_color_blue=1.0
argv[3]=--width=1280
argv[4]=--height=720
argv[5]=
Updates 1, num timesteps 40000, FPS 3571, mean/median reward -16.8/-13.8, min/max reward -95.6/9.0, entropy 10.06, value loss 16.07, policy loss -0.027
Updates 2, num timesteps 80000, FPS 3576, mean/median reward -12.0/-11.5, min/max reward -65.8/34.1, entropy 9.90, value loss 14.74, policy loss -0.032
Updates 3, num timesteps 120000, FPS 3392, mean/median reward -5.0/-5.6, min/max reward -44.4/76.5, entropy 9.74, value loss 14.51, policy loss -0.032
Updates 4, num timesteps 160000, FPS 3193, mean/median reward 1.5/-1.3, min/max reward -32.4/75.2, entropy 9.59, value loss 17.30, policy loss -0.026
Updates 5, num timesteps 200000, FPS 3052, mean/median reward 7.0/1.1, min/max reward -26.9/82.1, entropy 9.46, value loss 19.34, policy loss -0.025
Updates 6, num timesteps 240000, FPS 2942, mean/median reward 15.4/6.8, min/max reward -20.5/100.2, entropy 9.34, value loss 26.07, policy loss -0.026
Updates 7, num timesteps 280000, FPS 2871, mean/median reward 26.5/11.6, min/max reward -41.2/104.7, entropy 9.25, value loss 32.81, policy loss -0.026
Updates 8, num timesteps 320000, FPS 2849, mean/median reward 40.5/31.4, min/max reward -41.6/119.6, entropy 9.14, value loss 34.93, policy loss -0.024
Updates 9, num timesteps 360000, FPS 2817, mean/median reward 54.4/68.6, min/max reward -37.8/144.6, entropy 9.04, value loss 33.43, policy loss -0.020
Updates 10, num timesteps 400000, FPS 2795, mean/median reward 80.6/86.1, min/max reward -47.7/156.9, entropy 8.93, value loss 29.25, policy loss -0.020
Updates 11, num timesteps 440000, FPS 2783, mean/median reward 90.1/91.6, min/max reward -21.9/171.7, entropy 8.83, value loss 23.73, policy loss -0.022
Updates 12, num timesteps 480000, FPS 2758, mean/median reward 99.3/100.2, min/max reward -26.9/181.1, entropy 8.72, value loss 22.15, policy loss -0.023
Updates 13, num timesteps 520000, FPS 2743, mean/median reward 109.0/110.4, min/max reward -49.5/187.9, entropy 8.61, value loss 22.50, policy loss -0.023
Updates 14, num timesteps 560000, FPS 2725, mean/median reward 132.7/135.1, min/max reward 28.5/206.4, entropy 8.51, value loss 18.16, policy loss -0.021
Updates 15, num timesteps 600000, FPS 2701, mean/median reward 148.8/155.5, min/max reward 28.5/225.4, entropy 8.41, value loss 16.88, policy loss -0.020
Updates 16, num timesteps 640000, FPS 2687, mean/median reward 168.6/169.5, min/max reward 79.6/294.3, entropy 8.33, value loss 16.18, policy loss -0.015
Updates 17, num timesteps 680000, FPS 2673, mean/median reward 170.9/176.8, min/max reward -37.5/274.0, entropy 8.22, value loss 17.21, policy loss -0.018
Updates 18, num timesteps 720000, FPS 2668, mean/median reward 177.4/176.4, min/max reward 93.1/322.1, entropy 8.11, value loss 12.23, policy loss -0.017
Updates 19, num timesteps 760000, FPS 2675, mean/median reward 198.3/192.3, min/max reward 103.6/370.9, entropy 8.02, value loss 15.80, policy loss -0.017
Updates 20, num timesteps 800000, FPS 2671, mean/median reward 218.8/205.9, min/max reward 113.8/394.9, entropy 7.92, value loss 18.92, policy loss -0.015
Updates 21, num timesteps 840000, FPS 2667, mean/median reward 241.5/236.7, min/max reward 91.7/398.3, entropy 7.86, value loss 22.20, policy loss -0.019
Updates 22, num timesteps 880000, FPS 2657, mean/median reward 269.7/265.7, min/max reward -31.1/505.8, entropy 7.79, value loss 24.51, policy loss -0.018
Updates 23, num timesteps 920000, FPS 2648, mean/median reward 300.3/300.7, min/max reward 91.6/610.7, entropy 7.73, value loss 30.24, policy loss -0.013
Updates 24, num timesteps 960000, FPS 2645, mean/median reward 339.7/332.1, min/max reward 60.0/630.3, entropy 7.66, value loss 25.66, policy loss -0.020
Updates 25, num timesteps 1000000, FPS 2636, mean/median reward 378.4/381.6, min/max reward 101.5/657.4, entropy 7.59, value loss 27.47, policy loss -0.014
Updates 26, num timesteps 1040000, FPS 2635, mean/median reward 465.9/455.1, min/max reward 103.7/977.4, entropy 7.52, value loss 25.77, policy loss -0.016
Updates 27, num timesteps 1080000, FPS 2635, mean/median reward 511.3/503.9, min/max reward 92.6/1089.3, entropy 7.45, value loss 21.37, policy loss -0.017
Updates 28, num timesteps 1120000, FPS 2632, mean/median reward 565.1/522.1, min/max reward 92.3/1460.1, entropy 7.38, value loss 27.52, policy loss -0.017
Updates 29, num timesteps 1160000, FPS 2627, mean/median reward 581.9/549.3, min/max reward 288.6/1392.7, entropy 7.31, value loss 20.91, policy loss -0.017
Updates 30, num timesteps 1200000, FPS 2621, mean/median reward 612.9/552.4, min/max reward 177.4/1772.6, entropy 7.25, value loss 37.85, policy loss -0.014
Updates 31, num timesteps 1240000, FPS 2621, mean/median reward 702.6/631.6, min/max reward 106.6/1891.1, entropy 7.19, value loss 40.23, policy loss -0.017
Updates 32, num timesteps 1280000, FPS 2618, mean/median reward 828.7/719.8, min/max reward 106.6/2024.1, entropy 7.12, value loss 38.20, policy loss -0.018
Updates 33, num timesteps 1320000, FPS 2613, mean/median reward 986.5/831.8, min/max reward 127.3/2046.2, entropy 7.05, value loss 29.67, policy loss -0.014
Updates 34, num timesteps 1360000, FPS 2609, mean/median reward 1206.8/1089.7, min/max reward 127.3/2163.3, entropy 6.97, value loss 22.46, policy loss -0.014
Updates 35, num timesteps 1400000, FPS 2604, mean/median reward 1525.5/1869.2, min/max reward 341.5/2163.3, entropy 6.87, value loss 19.17, policy loss -0.014
Updates 36, num timesteps 1440000, FPS 2600, mean/median reward 1776.8/2008.4, min/max reward 341.5/2207.6, entropy 6.78, value loss 14.93, policy loss -0.013
Updates 37, num timesteps 1480000, FPS 2596, mean/median reward 1841.6/2044.5, min/max reward 341.5/2207.6, entropy 6.67, value loss 14.66, policy loss -0.011
Updates 38, num timesteps 1520000, FPS 2594, mean/median reward 1927.1/2106.8, min/max reward 429.3/2262.5, entropy 6.60, value loss 13.13, policy loss -0.008
Updates 39, num timesteps 1560000, FPS 2594, mean/median reward 2010.4/2168.5, min/max reward 429.3/2290.5, entropy 6.52, value loss 11.47, policy loss -0.011
Updates 40, num timesteps 1600000, FPS 2593, mean/median reward 2092.3/2206.8, min/max reward 429.3/2350.2, entropy 6.44, value loss 14.03, policy loss -0.011
Updates 41, num timesteps 1640000, FPS 2591, mean/median reward 2145.7/2245.2, min/max reward 475.9/2417.1, entropy 6.35, value loss 13.95, policy loss -0.008
Updates 42, num timesteps 1680000, FPS 2592, mean/median reward 2119.9/2305.5, min/max reward 405.6/2434.4, entropy 6.29, value loss 20.90, policy loss -0.014
Updates 43, num timesteps 1720000, FPS 2594, mean/median reward 2096.9/2320.1, min/max reward 405.6/2470.1, entropy 6.23, value loss 25.53, policy loss -0.012
Updates 44, num timesteps 1760000, FPS 2593, mean/median reward 2027.9/2350.9, min/max reward 293.5/2544.5, entropy 6.17, value loss 28.45, policy loss -0.010
